Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1981 4 1 3 0 0 0.266924 0 0.266924 33849.5 29708.3 0 0 0.0191565 0.0191565 0 0 1 0.94676 648.439 613.916 0 0 
1982 1 1 0 0 0 0.51054 0.000889968 0.51143 5.40904e+007 4.23436e+007 37684.4 545769 0.00845196 0.00845196 4612.82 4612.82 1 0 457170 0 0 0 
1982 1 1 1 0 0 0.43122 0.218001 0.649221 1.90376e+007 1.40035e+007 3.05279e+006 6.35051e+006 0.00886512 0.00886512 56298 56298 1 0.409297 168771 69077.4 0 0 
1982 1 1 2 0 0 0.377283 0.36643 0.743713 7.63873e+006 5.38876e+006 1.9746e+006 601581 0.0170799 0.0170799 10274.9 10274.9 1 0.87187 130469 113752 0 0 
1982 1 1 3 0 0 0.245164 0.335249 0.580414 466074 353589 118540 64879.1 0.0155033 0.0155033 1005.84 1005.84 1 0.94676 7225.67 6840.98 0 0 
1982 2 1 0 0 0 0.331179 0.00794005 0.339119 3.24347e+007 2.75074e+007 218410 818525 0.00706761 0.00706761 5785.01 5785.01 1 0 229235 0 0 0 
1982 2 1 1 0 0 0.2305 0.245468 0.475968 9.94627e+006 7.91401e+006 1.94264e+006 5.02108e+006 0.0109848 0.0109848 55155.7 55155.7 1 0.409297 109258 44719 0 0 
1982 2 1 2 0 0 0.216607 0.834297 1.0509 3.63104e+006 2.24716e+006 1.8748e+006 1.07096e+006 0.0159531 0.0159531 17085.1 17085.1 1 0.87187 57926.2 50504.1 0 0 
1982 2 1 3 0 0 0.177491 0.779184 0.956675 260846 167912 130834 55333.3 0.0219233 0.0219233 1213.09 1213.09 1 0.94676 5718.61 5414.15 0 0 
1982 3 1 0 0 0 0.305202 0.0177805 0.322982 2.31064e+007 1.97462e+007 351096 2.53067e+006 0.00288184 0.00288184 7292.99 7292.99 1 0 66588.8 0 0 0 
1982 3 1 1 0 0 0.23122 0.103107 0.334327 6.17945e+006 5.25258e+006 541579 401839 0.00754327 0.00754327 3031.18 3031.18 1 0.409297 46613.3 19078.7 0 0 
1982 3 1 2 0 0 0.181968 0.22743 0.409398 1.26949e+006 1.04174e+006 236922 46913.2 0.0115244 0.0115244 540.647 540.647 1 0.87187 14630.1 12755.6 0 0 
1982 3 1 3 0 0 0.181968 0.5511 0.733068 100209 71023.7 39141.2 3525.28 0.0174052 0.0174052 61.3581 61.3581 1 0.94676 1744.15 1651.29 0 0 
1982 4 1 0 0 0 0.317977 0 0.317977 1.67287e+007 1.43299e+007 0 0 0.00442351 0.00442351 0 0 1 0 73999.5 0 0 0 
1982 4 1 1 0 0 0.276865 0 0.276865 4.42337e+006 3.86384e+006 0 0 0.0078101 0.0078101 0 0 1 0.409297 34547 14140 0 0 
1982 4 1 2 0 0 0.205364 0 0.205364 843004 762076 0 0 0.0113901 0.0113901 0 0 1 0.87187 9601.93 8371.63 0 0 
1982 4 1 3 0 0 0.205364 0 0.205364 48143.5 43521.8 0 0 0.0159837 0.0159837 0 0 1 0.94676 769.512 728.544 0 0 
1983 1 1 0 0 0 0.53243 0.00146856 0.533898 7.17246e+007 5.5575e+007 81615.4 5.61373e+006 0.00443297 0.00443297 24885.5 24885.5 1 0 317953 0 0 0 
1983 1 1 1 0 0 0.428794 0.359731 0.788525 1.21721e+007 8.42043e+006 3.02909e+006 2.81924e+006 0.00917471 0.00917471 25865.7 25865.7 1 0.409297 111676 45708.5 0 0 
1983 1 1 2 0 0 0.348733 0.604657 0.95339 3.35361e+006 2.16178e+006 1.30714e+006 969599 0.0128073 0.0128073 12417.9 12417.9 1 0.87187 42950.6 37447.3 0 0 
1983 1 1 3 0 0 0.224112 0.553205 0.777317 725707 504485 279084 155653 0.0152356 0.0152356 2371.46 2371.46 1 0.94676 11056.5 10467.9 0 0 
1983 2 1 0 0 0 0.336244 0.0131021 0.349346 4.20532e+007 3.54932e+007 465036 2.37576e+006 0.00420334 0.00420334 9986.14 9986.14 1 0 176764 0 0 0 
1983 2 1 1 0 0 0.235145 0.405055 0.640199 5.53242e+006 4.08591e+006 1.65502e+006 1.33433e+006 0.01236 0.01236 16492.4 16492.4 1 0.409297 68380.7 27988 0 0 
