Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15
NS-IBTS,2003,3,161789,Sprattus,sprattus,NS_SpratIV,,6,11.068,1619.465,303.271,13.412,0.544,0.000,0.000,,,,,,,,,
NS-IBTS,2004,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,402.870,49.002,156.622,86.566,8.535,18.947,,,,,,,,,
NS-IBTS,2004,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1593.892,495.702,78.243,3.498,1.536,0.000,,,,,,,,,
NS-IBTS,2004,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,191.026,7388.165,645.609,706.077,167.962,28.050,26.216,,,,,,,,,
NS-IBTS,2004,3,161789,Sprattus,sprattus,NS_SpratIV,,6,3759.249,3552.182,859.585,117.792,1.682,0.000,0.000,,,,,,,,,
NS-IBTS,2005,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,3053.458,267.892,36.385,0.868,0.000,0.000,,,,,,,,,
NS-IBTS,2005,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,3314.171,1563.164,470.837,837.086,452.172,86.196,,,,,,,,,
NS-IBTS,2005,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,169.269,12817.775,1357.626,183.507,68.868,19.081,4.867,,,,,,,,,
NS-IBTS,2005,3,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,8283.586,480.586,38.734,0.000,0.000,0.000,,,,,,,,,
NS-IBTS,2006,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,421.803,1212.870,92.378,8.262,0.000,0.072,,,,,,,,,
NS-IBTS,2006,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,1323.589,11855.762,1753.918,299.051,156.936,2.290,,,,,,,,,
NS-IBTS,2006,3,161789,Sprattus,sprattus,NS_SpratIV,,6,0.045,1457.283,1927.628,86.363,2.423,0.000,0.007,,,,,,,,,
NS-IBTS,2006,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.653,848.868,4640.507,1841.228,184.416,78.459,37.183,,,,,,,,,
NS-IBTS,2007,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1053.684,1339.826,274.813,11.179,0.000,0.013,,,,,,,,,
NS-IBTS,2007,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,774.110,306.631,250.809,42.079,10.177,3.561,,,,,,,,,
NS-IBTS,2007,3,161789,Sprattus,sprattus,NS_SpratIV,,6,43.074,1365.552,1231.068,183.710,6.591,0.000,0.000,,,,,,,,,
NS-IBTS,2007,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,49.053,10899.959,474.271,666.299,175.113,8.994,3.984,,,,,,,,,
NS-IBTS,2008,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1432.447,769.173,96.885,6.857,0.017,0.000,,,,,,,,,
NS-IBTS,2008,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,150.854,982.681,132.543,228.481,96.386,11.317,,,,,,,,,
NS-IBTS,2008,3,161789,Sprattus,sprattus,NS_SpratIV,,6,89.218,2097.414,1019.865,26.063,1.004,0.000,0.000,,,,,,,,,
NS-IBTS,2008,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,480.494,809.366,2779.770,463.180,663.332,116.493,12.821,,,,,,,,,
NS-IBTS,2009,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,3171.294,468.360,26.319,1.604,1.215,0.000,,,,,,,,,
NS-IBTS,2009,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,2686.719,124.463,259.147,29.600,19.068,18.361,,,,,,,,,
